threshold,precision,recall,f1_score,f2_score,true_positives,false_positives,true_negatives,false_negatives,accuracy
0.05,0.02,0.2222222222222222,0.03669724770642202,0.07352941176470588,2,98,135,7,0.5661157024793388
0.1,0.024691358024691357,0.2222222222222222,0.044444444444444446,0.08547008547008546,2,79,154,7,0.6446280991735537
0.15000000000000002,0.025,0.2222222222222222,0.0449438202247191,0.08620689655172414,2,78,155,7,0.6487603305785123
0.2,0.02531645569620253,0.2222222222222222,0.045454545454545456,0.08695652173913043,2,77,156,7,0.6528925619834711
0.25,0.02531645569620253,0.2222222222222222,0.045454545454545456,0.08695652173913043,2,77,156,7,0.6528925619834711
0.3,0.012987012987012988,0.1111111111111111,0.023255813953488372,0.04424778761061947,1,76,157,8,0.6528925619834711
0.35000000000000003,0.012987012987012988,0.1111111111111111,0.023255813953488372,0.04424778761061947,1,76,157,8,0.6528925619834711
0.4,0.0136986301369863,0.1111111111111111,0.024390243902439025,0.045871559633027525,1,72,161,8,0.6694214876033058
0.45,0.013888888888888888,0.1111111111111111,0.024691358024691357,0.046296296296296294,1,71,162,8,0.6735537190082644
0.5,0.014492753623188406,0.1111111111111111,0.02564102564102564,0.047619047619047616,1,68,165,8,0.6859504132231405
0.55,0.014925373134328358,0.1111111111111111,0.02631578947368421,0.04854368932038834,1,66,167,8,0.6942148760330579
0.6000000000000001,0.015151515151515152,0.1111111111111111,0.02666666666666667,0.049019607843137254,1,65,168,8,0.6983471074380165
0.6500000000000001,0.015625,0.1111111111111111,0.0273972602739726,0.05,1,63,170,8,0.7066115702479339
0.7000000000000001,0.01639344262295082,0.1111111111111111,0.02857142857142857,0.051546391752577324,1,60,173,8,0.71900826446281
0.7500000000000001,0.017543859649122806,0.1111111111111111,0.030303030303030304,0.053763440860215055,1,56,177,8,0.7355371900826446
0.8,0.02127659574468085,0.1111111111111111,0.03571428571428571,0.060240963855421686,1,46,187,8,0.7768595041322314
0.8500000000000001,0.0,0.0,0.0,0.0,0,6,227,9,0.9380165289256198
0.9000000000000001,0.0,0.0,0.0,0.0,0,1,232,9,0.9586776859504132
0.9500000000000001,0.0,0.0,0.0,0.0,0,0,233,9,0.9628099173553719
